DBN,School_Name,Grade,Year,Number_Tested,Mean_Scale_Score,Not_Meeting_Pct,Partially_Meeting_Pct,Meeting_Pct
84Q170,PENINSULA PREPARATORY ACADEMY CHARTER SCHOOL,4,2013-01-01,52,311.0,13.5,40.4,46.2
84X389,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER,5,2013-01-01,43,301.0,41.9,32.6,25.6
84M068,KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL,5,2013-01-01,100,301.0,34.0,35.0,31.0
84K536,COMMUNITY ROOTS CHARTER SCHOOL,3,2013-01-01,51,312.0,13.7,39.2,47.1
84M065,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL,All Grades,2013-01-01,109,306.0,18.3,49.5,32.1
84X704,KIPP ACADEMY CHARTER SCHOOL,8,2013-01-01,62,328.0,1.6,41.9,56.5
84M065,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL,6,2013-01-01,109,306.0,18.3,49.5,32.1
84K536,COMMUNITY ROOTS CHARTER SCHOOL,4,2013-01-01,50,324.0,12.0,18.0,70.0
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP C,All Grades,2013-01-01,265,317.0,12.5,37.7,49.8
84X389,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER,All Grades,2013-01-01,130,304.0,26.9,40.0,33.1
84Q705,RENAISSANCE CHARTER SCHOOL,All Grades,2013-01-01,264,309.0,24.6,37.5,37.9
84K536,COMMUNITY ROOTS CHARTER SCHOOL,5,2013-01-01,50,306.0,40.0,18.0,42.0
84X394,MOTT HAVEN ACADEMY CHARTER SCHOOL,4,2013-01-01,44,295.0,31.8,40.9,27.3
84X394,MOTT HAVEN ACADEMY CHARTER SCHOOL,5,2013-01-01,35,282.0,71.4,14.3,14.3
84Q321,GROWING UP GREEN CHARTER SCHOOL,All Grades,2013-01-01,161,299.0,30.4,41.0,28.6
84X394,MOTT HAVEN ACADEMY CHARTER SCHOOL,All Grades,2013-01-01,123,291.0,41.5,37.4,21.1
84K536,COMMUNITY ROOTS CHARTER SCHOOL,6,2013-01-01,52,300.0,28.8,42.3,28.8
84X394,MOTT HAVEN ACADEMY CHARTER SCHOOL,3,2013-01-01,44,295.0,27.3,52.3,20.5
84M068,KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL,All Grades,2013-01-01,100,301.0,34.0,35.0,31.0
84X389,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER,4,2013-01-01,44,300.0,22.7,56.8,20.5
84X389,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER,3,2013-01-01,43,311.0,16.3,30.2,53.5
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP C,3,2013-01-01,79,326.0,8.9,27.8,63.3
84Q321,GROWING UP GREEN CHARTER SCHOOL,3,2013-01-01,81,295.0,34.6,40.7,24.7
84X378,ICAHN CHARTER SCHOOL 2,3,2013-01-01,32,321.0,0.0,37.5,62.5
84X705,FAMILY LIFE ACADEMY CHARTER SCHOOL,3,2013-01-01,52,281.0,53.8,34.6,11.5
84Q704,MERRICK ACADEMY - QUEENS PUBLIC CHARTER SCHOOL,5,2013-01-01,73,299.0,35.6,34.2,30.1
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP C,4,2013-01-01,77,308.0,15.6,42.9,41.6
84X378,ICAHN CHARTER SCHOOL 2,4,2013-01-01,35,326.0,0.0,20.0,80.0
84Q321,GROWING UP GREEN CHARTER SCHOOL,4,2013-01-01,80,302.0,26.3,41.3,32.5
84X378,ICAHN CHARTER SCHOOL 2,5,2013-01-01,35,333.0,2.9,20.0,77.1
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP C,5,2013-01-01,50,308.0,26.0,46.0,28.0
84X378,ICAHN CHARTER SCHOOL 2,6,2013-01-01,32,332.0,0.0,28.1,71.9
84X378,ICAHN CHARTER SCHOOL 2,7,2013-01-01,29,330.0,3.4,31.0,65.5
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP C,6,2013-01-01,34,327.0,0.0,35.3,64.7
84X378,ICAHN CHARTER SCHOOL 2,All Grades,2013-01-01,163,328.0,1.2,27.0,71.8
84X704,KIPP ACADEMY CHARTER SCHOOL,All Grades,2013-01-01,343,313.0,17.5,39.1,43.4
84Q706,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,3,2013-01-01,80,316.0,10.0,37.5,52.5
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP C,7,2013-01-01,25,325.0,4.0,40.0,56.0
84X398,BRONX COMMUNITY CHARTER SCHOOL,3,2013-01-01,49,300.0,30.6,42.9,26.5
84M279,THE OPPORTUNITY CHARTER SCHOOL,6,2013-01-01,56,275.0,62.5,26.8,10.7
84X398,BRONX COMMUNITY CHARTER SCHOOL,4,2013-01-01,49,294.0,26.5,55.1,18.4
84K793,BUSHWICK ASCEND CHARTER SCHOOL,All Grades,2013-01-01,90,305.0,13.3,56.7,30.0
84K538,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,6,2013-01-01,92,319.0,7.6,39.1,53.3
84X419,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,3,2013-01-01,64,302.0,20.3,50.0,29.7
84X419,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,4,2013-01-01,63,293.0,36.5,39.7,23.8
84X419,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,5,2013-01-01,60,294.0,48.3,35.0,16.7
84K538,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,7,2013-01-01,89,321.0,7.9,43.8,48.3
84K785,IMAGINE ME LEADERSHIP CHARTER SCHOOL,All Grades,2013-01-01,47,283.0,42.6,38.3,19.1
84X419,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,6,2013-01-01,50,305.0,16.0,54.0,30.0
84Q342,ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,All Grades,2013-01-01,33,301.0,27.3,48.5,24.2
